Sample in Buffer,Sample in Window,TRIGGER,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_rstb,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_spi_clk,design_1_i/spi_master_0_spi_cs,design_1_i/spi_miso_0_1,design_1_i/rst_1,design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_line_out[7:0]
0,0,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
1,1,0,0,0,0,1,0,0,0,00000000,0000,0,1,0
2,2,0,0,0,0,1,0,0,0,00000000,0000,0,1,0
3,3,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
4,4,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
5,5,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
6,6,0,0,0,0,1,0,0,0,00000000,0000,0,1,0
7,7,0,0,0,0,1,0,0,0,00000000,0000,0,1,0
8,8,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
9,9,0,1,0,0,0,0,0,0,00000000,0000,0,2,0
10,10,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
11,11,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
12,12,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
13,13,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
14,14,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
15,15,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
16,16,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
17,17,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
18,18,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
19,19,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
20,20,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
21,21,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
22,22,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
23,23,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
24,24,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
25,25,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
26,26,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
27,27,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
28,28,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
29,29,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
30,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
31,31,1,0,0,0,1,0,0,0,00000000,0000,0,3,0
32,0,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
33,1,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
34,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
35,3,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
36,4,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
37,5,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
38,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
39,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
40,8,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
41,9,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
42,10,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
43,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
44,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
45,13,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
46,14,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
47,15,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
48,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
49,17,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
50,18,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
51,19,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
52,20,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
53,21,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
54,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
55,23,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
56,24,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
57,25,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
58,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
59,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
60,28,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
61,29,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
62,30,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
63,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
64,0,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
65,1,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
66,2,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
67,3,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
68,4,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
69,5,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
70,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
71,7,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
72,8,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
73,9,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
74,10,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
75,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
76,12,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
77,13,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
78,14,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
79,15,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
80,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
81,17,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
82,18,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
83,19,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
84,20,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
85,21,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
86,22,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
87,23,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
88,24,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
89,25,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
90,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
91,27,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
92,28,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
93,29,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
94,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
95,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
96,0,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
97,1,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
98,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
99,3,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
100,4,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
101,5,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
102,6,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
103,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
104,8,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
105,9,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
106,10,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
107,11,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
108,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
109,13,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
110,14,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
111,15,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
112,16,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
113,17,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
114,18,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
115,19,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
116,20,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
117,21,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
118,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
119,23,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
120,24,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
121,25,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
122,26,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
123,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
124,28,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
125,29,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
126,30,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
127,31,1,0,0,0,1,0,0,0,00000000,0000,0,3,0
128,0,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
129,1,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
130,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
131,3,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
132,4,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
133,5,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
134,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
135,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
136,8,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
137,9,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
138,10,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
139,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
140,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
141,13,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
142,14,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
143,15,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
144,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
145,17,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
146,18,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
147,19,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
148,20,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
149,21,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
150,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
151,23,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
152,24,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
153,25,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
154,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
155,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
156,28,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
157,29,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
158,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
159,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
160,0,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
161,1,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
162,2,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
163,3,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
164,4,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
165,5,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
166,6,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
167,7,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
168,8,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
169,9,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
170,10,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
171,11,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
172,12,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
173,13,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
174,14,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
175,15,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
176,16,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
177,17,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
178,18,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
179,19,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
180,20,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
181,21,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
182,22,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
183,23,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
184,24,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
185,25,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
186,26,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
187,27,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
188,28,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
189,29,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
190,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
191,31,1,0,0,0,1,0,0,0,00000000,0000,0,3,0
192,0,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
193,1,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
194,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
195,3,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
196,4,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
197,5,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
198,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
199,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
200,8,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
201,9,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
202,10,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
203,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
204,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
205,13,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
206,14,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
207,15,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
208,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
209,17,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
210,18,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
211,19,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
212,20,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
213,21,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
214,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
215,23,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
216,24,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
217,25,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
218,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
219,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
220,28,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
221,29,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
222,30,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
223,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
224,0,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
225,1,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
226,2,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
227,3,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
228,4,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
229,5,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
230,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
231,7,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
232,8,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
233,9,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
234,10,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
235,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
236,12,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
237,13,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
238,14,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
239,15,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
240,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
241,17,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
242,18,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
243,19,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
244,20,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
245,21,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
246,22,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
247,23,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
248,24,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
249,25,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
250,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
251,27,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
252,28,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
253,29,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
254,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
255,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
256,0,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
257,1,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
258,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
259,3,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
260,4,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
261,5,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
262,6,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
263,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
264,8,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
265,9,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
266,10,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
267,11,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
268,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
269,13,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
270,14,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
271,15,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
272,16,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
273,17,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
274,18,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
275,19,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
276,20,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
277,21,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
278,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
279,23,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
280,24,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
281,25,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
282,26,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
283,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
284,28,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
285,29,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
286,30,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
287,31,1,0,0,0,1,0,0,0,00000000,0000,0,3,0
288,0,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
289,1,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
290,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
291,3,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
292,4,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
293,5,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
294,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
295,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
296,8,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
297,9,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
298,10,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
299,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
300,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
301,13,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
302,14,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
303,15,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
304,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
305,17,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
306,18,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
307,19,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
308,20,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
309,21,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
310,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
311,23,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
312,24,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
313,25,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
314,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
315,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
